model,rmse,mae,r2,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,low_rate,medium_rate,high_rate
Majority class baseline: score category,,,,0.3676028084252758,0.3333333333333333,0.12253426947509194,0.3333333333333333,0.17919569734751253,0.13513182476215005,0.3676028084252758,0.1976185248080141,0.3677134543995184,0.3016955954650346,0.330590950135447
Logistic regression classification: score quantile category,,,,0.5030090270812437,0.4916412883030412,0.481211317418214,0.4916412883030412,0.48086039060818636,0.4865304990378487,0.5030090270812437,0.48950024056220565,0.3677134543995184,0.3016955954650346,0.330590950135447
