k,silhouette_score
2,0.1056367101389887
3,0.0956993504691193
4,0.10613499354079688
5,0.11837213626115375
6,0.12385747938952645
7,0.13438491159851607
8,0.1300137657516565
9,0.15617169064061942
10,0.15327883074810045
