model,rmse,mae,r2
Mean score baseline,10.329463868315067,7.717587165107513,-0.0005169144241685686
Baseline linear regression,10.12175488797592,7.547620941370385,0.03931611538501267
Improved linear regression,9.307343871144436,6.762578661756763,0.18769263131818525
